threshold_name,threshold_value,volume_id,sample_count,supported_pixels,support_weight_sum,method,high_risk_prevalence,auprc,auroc
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,U2a,0.42931814404628194,0.4965305178932479,0.6350165950270147
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,U2b,0.42931814404628194,0.551461157717278,0.739798204703889
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B1,0.42931814404628194,0.6905336400597841,0.8062653142066248
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B2,0.42931814404628194,0.6942398039613868,0.8142429605203851
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B3,0.42931814404628194,0.49779900649393255,0.540439322740972
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B4,0.42931814404628194,0.6645198798062372,0.7870656030288947
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B5,0.42931814404628194,0.42980654601499063,0.5005862850417208
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B6,0.42931814404628194,0.6871397485500537,0.8146562327149827
q95,2.0520856380462646,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,C0,0.15102252550924103,0.6249837741334613,0.9002619992168807
q95,2.0520856380462646,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,U1,0.15102252550924103,0.47032287244488397,0.8250294038792181
q95,2.0520856380462646,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,U2a,0.15102252550924103,0.16047142645081872,0.5630120893568283
q95,2.0520856380462646,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,U2b,0.15102252550924103,0.16030440801144044,0.5882491673731494
q95,2.0520856380462646,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B1,0.15102252550924103,0.3110913083724297,0.7598254149000231
q95,2.0520856380462646,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,B2,0.15102252550924103,0.31330907052951235,0.7686929136463935
